voltage x,voltage y,time
-7.655955305,7.726896311,0.362
-7.654968768,7.728540517,0.363
-7.662532221,7.721306013,0.364
-7.669766828,7.71144078,0.365
-7.673055286,7.71144078,0.366
-7.680947585,7.709138893,0.367
-7.671739903,7.704206277,0.368
-7.677001435,7.697629455,0.369
-7.676343744,7.700589025,0.37
-7.681276431,7.69894482,0.371
-7.685551426,7.691052634,0.372
-7.687853347,7.69302568,0.373
-7.679961048,7.700589025,0.374
-7.671411057,7.710125416,0.375
-7.668780291,7.713413827,0.376
-7.682262968,7.716044556,0.377
-7.669109136,7.718675284,0.378
-7.670095674,7.719661807,0.379
-7.665820679,7.719990649,0.38
-7.663189912,7.713084986,0.381
-7.654968768,7.72656747,0.382
-7.652666848,7.72656747,0.383
-7.662203375,7.724594424,0.384
-7.673712978,7.713084986,0.385
-7.676343744,7.709138893,0.386
-7.673384132,7.712756145,0.387
-7.675357206,7.712756145,0.388
-7.674041823,7.712427304,0.389
-7.681276431,7.705850482,0.39
-7.680947585,7.704863959,0.391
-7.694101417,7.693354522,0.392
-7.691470651,7.694341045,0.393
-7.684564889,7.704863959,0.394
-7.673055286,7.715386873,0.395
-7.672068749,7.717031079,0.396
-7.668451445,7.717031079,0.397
-7.667464908,7.720648331,0.398
-7.673712978,7.715715714,0.399
-7.668780291,7.719332966,0.4
-7.66417645,7.707823529,0.401
-7.654639922,7.713742668,0.402
-7.654311077,7.720648331,0.403
-7.662861067,7.710783098,0.404
-7.668451445,7.702562071,0.405
-7.675686052,7.698615979,0.406
-7.675686052,7.700260184,0.407
-7.678645664,7.691710316,0.408
-7.675357206,7.695327568,0.409
-7.679632202,7.691381475,0.41
-7.684236043,7.690394952,0.411
-7.68916873,7.686448859,0.412
-7.690155268,7.683818131,0.413
-7.683249506,7.689079588,0.414
-7.674041823,7.698287138,0.415
-7.67272644,7.703219754,0.416
-7.674041823,7.697300614,0.417
-7.672068749,7.700917866,0.418
-7.666807216,7.715058032,0.419
-7.664834141,7.716702238,0.42
-7.658586072,7.721963695,0.421
-7.654311077,7.725580947,0.422
-7.651022619,7.727553993,0.423
-7.66417645,7.721306013,0.424
-7.671411057,7.715386873,0.425
-7.679961048,7.71440035,0.426
-7.677001435,7.712098463,0.427
-7.674041823,7.700917866,0.428
-7.67667259,7.698287138,0.429
-7.676343744,7.698287138,0.43
-7.685551426,7.703548595,0.431
-7.692128342,7.682502767,0.432
-7.688182193,7.681516243,0.433
-7.684893735,7.687106541,0.434
-7.677987973,7.69598525,0.435
-7.673055286,7.701904389,0.436
-7.669766828,7.704206277,0.437
-7.669109136,7.7051928,0.438
-7.669437982,7.703877436,0.439
-7.66647837,7.717031079,0.44
-7.663189912,7.723279059,0.441
-7.654968768,7.72656747,0.442
-7.652009156,7.730184722,0.443
-7.662532221,7.721306013,0.444
-7.67042452,7.713084986,0.445
-7.674370669,7.709467734,0.446
-7.671411057,7.707494688,0.447
-7.685880272,7.708810052,0.448
-7.679961048,7.704863959,0.449
-7.682591814,7.707165846,0.45
-7.681934122,7.702562071,0.451
-7.695087955,7.69302568,0.452
-7.688839884,7.69302568,0.453
-7.683907197,7.690066111,0.454
-7.676014898,7.697629455,0.455
-7.672397594,7.698615979,0.456
-7.669766828,7.702562071,0.457
-7.665820679,7.715058032,0.458
-7.668122599,7.712098463,0.459
-7.665162987,7.715058032,0.46
-7.66417645,7.721963695,0.461
-7.653324539,7.724923265,0.462
-7.653324539,7.726238629,0.463
-7.663518758,7.724265583,0.464
-7.667464908,7.71144078,0.465
-7.68522258,7.710125416,0.466
-7.675028361,7.712098463,0.467
-7.67667259,7.709467734,0.468
-7.679961048,7.695656409,0.469
-7.677987973,7.693683363,0.47
-7.680618739,7.692039157,0.471
-7.689497576,7.683818131,0.472
-7.690484113,7.680858561,0.473
-7.687195655,7.6867777,0.474
-7.673055286,7.69894482,0.475
-7.670753365,7.698615979,0.476
-7.670753365,7.701246707,0.477
-7.672068749,7.699602502,0.478
-7.667464908,7.704535118,0.479
-7.666149524,7.707494688,0.48
-7.663847604,7.706837005,0.481
-7.652009156,7.722621377,0.482
-7.653653385,7.729855881,0.483
-7.662203375,7.720977172,0.484
-7.670095674,7.714729191,0.485
-7.67272644,7.710125416,0.486
-7.673055286,7.7051928,0.487
-7.675357206,7.707165846,0.488
-7.677330281,7.707165846,0.489
-7.673384132,7.702890913,0.49
-7.693772572,7.703548595,0.491
-7.692457188,7.698615979,0.492
-7.694759109,7.693354522,0.493
-7.687524501,7.698615979,0.494
-7.680289893,7.711111939,0.495
-7.669766828,7.717688761,0.496
-7.671411057,7.719332966,0.497
-7.671411057,7.718017602,0.498
-7.67042452,7.716702238,0.499
-7.671082211,7.720977172,0.5
-7.665491833,7.706837005,0.501
-7.656941843,7.720648331,0.502
-7.654639922,7.719332966,0.503
-7.660887992,7.713413827,0.504
-7.672397594,7.710125416,0.505
-7.676014898,7.69598525,0.506
-7.675357206,7.696314091,0.507
-7.67897451,7.69302568,0.508
-7.679632202,7.698287138,0.509
-7.679961048,7.692367998,0.51
-7.684893735,7.689079588,0.511
-7.687195655,7.685791177,0.512
-7.689826422,7.677898992,0.513
-7.688182193,7.684475813,0.514
-7.678316819,7.694998727,0.515
-7.675028361,7.7051928,0.516
-7.670095674,7.708481211,0.517
-7.672397594,7.701575548,0.518
-7.666149524,7.714729191,0.519
-7.667464908,7.715386873,0.52
-7.661874529,7.722292536,0.521
-7.66417645,7.726238629,0.522
-7.661216838,7.727553993,0.523
-7.658914917,7.718017602,0.524
-7.676014898,7.71440035,0.525
-7.681276431,7.70815237,0.526
-7.682591814,7.707494688,0.527
-7.678645664,7.711769622,0.528
-7.681276431,7.710454257,0.529
-7.67897451,7.712098463,0.53
-7.683249506,7.687435382,0.531
-7.690484113,7.691710316,0.532
-7.692786034,7.689079588,0.533
-7.687195655,7.684804654,0.534
-7.677330281,7.696642932,0.535
-7.672397594,7.700917866,0.536
-7.671411057,7.698615979,0.537
-7.667464908,7.7051928,0.538
-7.667136062,7.709467734,0.539
-7.668451445,7.703219754,0.54
-7.66417645,7.706837005,0.541
-7.655297614,7.726896311,0.542
-7.652338002,7.724923265,0.543
-7.668122599,7.722950218,0.544
-7.668451445,7.71440035,0.545
-7.673712978,7.700260184,0.546
-7.673712978,7.703548595,0.547
-7.678316819,7.712427304,0.548
-7.67897451,7.710454257,0.549
-7.677987973,7.703219754,0.55
-7.681276431,7.691381475,0.551
-7.686866809,7.697629455,0.552
-7.691799497,7.678885515,0.553
-7.68292066,7.699602502,0.554
-7.675357206,7.706508164,0.555
-7.667464908,7.708810052,0.556
-7.667136062,7.715386873,0.557
-7.667136062,7.711769622,0.558
-7.668451445,7.713413827,0.559
-7.666807216,7.716044556,0.56
-7.670753365,7.722621377,0.561
-7.665162987,7.727553993,0.562
-7.656284151,7.733801974,0.563
-7.6602303,7.708810052,0.564
-7.66647837,7.704206277,0.565
-7.671082211,7.707823529,0.566
-7.673055286,7.707823529,0.567
-7.675028361,7.703548595,0.568
-7.691470651,7.707823529,0.569
-7.687195655,7.706837005,0.57
-7.683907197,7.700589025,0.571
-7.69936295,7.697300614,0.572
-7.690484113,7.692367998,0.573
-7.694430263,7.699602502,0.574
-7.677001435,7.707165846,0.575
-7.675686052,7.71440035,0.576
-7.673712978,7.716702238,0.577
-7.668122599,7.711769622,0.578
-7.671411057,7.698287138,0.579
-7.669109136,7.707165846,0.58
-7.668122599,7.718346443,0.581
-7.668780291,7.72656747,0.582
-7.663189912,7.729855881,0.583
-7.668780291,7.723936742,0.584
-7.672397594,7.71440035,0.585
-7.674041823,7.707823529,0.586
